ticker,volume,volume_weighted_avg_price,open_price,close_price,highest_price,lowest_price,um_timestamp,transactions,market_close,market
JAVA,274999.0,65.8651,66.15,65.85,66.15,65.77,1734123600000,1560.0,2024-12-13,NYSE
REZ,65428.0,84.1693,84.35,84.165,84.44,83.94,1734123600000,696.0,2024-12-13,NYSE
SPTS,571947.0,29.0399,29.05,29.03,29.05,29.03,1734123600000,1404.0,2024-12-13,NYSE
UFPI,215653.0,126.8341,127.13,126.86,127.7616,126.23,1734123600000,7337.0,2024-12-13,NYSE
IQDG,69635.0,35.9443,36.13,35.95,36.13,35.8513,1734123600000,303.0,2024-12-13,NYSE
CTRE,1295731.0,28.7558,28.55,28.81,28.86,28.49,1734123600000,15275.0,2024-12-13,NYSE
WYY,57340.0,5.4908,5.53,5.57,5.68,5.2989,1734123600000,542.0,2024-12-13,NYSE
HYGV,336142.0,41.1409,41.25,41.12,41.25,41.09,1734123600000,2109.0,2024-12-13,NYSE
RWM,4926351.0,18.0885,17.98,18.07,18.165,17.9499,1734123600000,6078.0,2024-12-13,NYSE
FBL,519771.0,37.5358,38.06,37.21,38.4988,36.7626,1734123600000,4537.0,2024-12-13,NYSE
GPIX,119783.0,50.5021,50.72,50.52,50.72,50.36,1734123600000,916.0,2024-12-13,NYSE
PRE,30379.0,5.4083,5.44,5.94,5.94,5.0001,1734123600000,794.0,2024-12-13,NYSE
GENC,20995.0,21.3262,21.5,21.61,21.64,20.88,1734123600000,2304.0,2024-12-13,NYSE
NVDL,19462329.0,68.0743,71.87,67.06,72.55,65.35,1734123600000,198789.0,2024-12-13,NYSE
MODG,1984834.0,7.8863,7.95,7.92,8.03,7.76,1734123600000,12026.0,2024-12-13,NYSE
MUU,456821.0,23.5573,23.14,23.99,24.2299,22.75,1734123600000,2082.0,2024-12-13,NYSE
QAT,19144.0,18.2656,18.29,18.26,18.328,18.22,1734123600000,127.0,2024-12-13,NYSE
LMNR,32929.0,26.702,26.75,27.02,27.2,26.39,1734123600000,1154.0,2024-12-13,NYSE
TLTD,11300.0,71.605,71.88,71.5491,71.995,71.44,1734123600000,70.0,2024-12-13,NYSE
QQQE,435638.0,94.6144,95.01,94.63,95.035,94.292,1734123600000,1668.0,2024-12-13,NYSE
